PA,SZ,FA,Hse,Time
Pioneer,Pioneer Sector,>60 to 80,0,2013
Pioneer,Pioneer Sector,>80 to 100,0,2013
Pioneer,Pioneer Sector,>100 to 120,0,2013
Pioneer,Pioneer Sector,>120,0,2013
Pioneer,Pioneer Sector,Not Available,0,2013
Punggol,Coney Island,<=60,0,2013
Punggol,Coney Island,>60 to 80,0,2013
Punggol,Coney Island,>80 to 100,0,2013
Punggol,Coney Island,>100 to 120,0,2013
Punggol,Coney Island,>120,0,2013
Punggol,Coney Island,Not Available,0,2013
Punggol,Matilda,<=60,750,2013
Punggol,Matilda,>60 to 80,810,2013
Punggol,Matilda,>80 to 100,3770,2013
Punggol,Matilda,>100 to 120,2400,2013
Punggol,Matilda,>120,20,2013
Punggol,Matilda,Not Available,0,2013
Punggol,Northshore,<=60,0,2013
Punggol,Northshore,>60 to 80,0,2013
Punggol,Northshore,>80 to 100,0,2013
Punggol,Northshore,>100 to 120,0,2013
Punggol,Northshore,>120,110,2013
Punggol,Northshore,Not Available,0,2013
Punggol,Punggol Canal,<=60,0,2013
Punggol,Punggol Canal,>60 to 80,0,2013
Punggol,Punggol Canal,>80 to 100,0,2013
Punggol,Punggol Canal,>100 to 120,0,2013
Punggol,Punggol Canal,>120,0,2013
Punggol,Punggol Canal,Not Available,0,2013
Punggol,Punggol Field,<=60,0,2013
Punggol,Punggol Field,>60 to 80,0,2013
Punggol,Punggol Field,>80 to 100,3960,2013
Punggol,Punggol Field,>100 to 120,7610,2013
Punggol,Punggol Field,>120,1130,2013
Punggol,Punggol Field,Not Available,0,2013
Punggol,Punggol Town Centre,<=60,0,2013
Punggol,Punggol Town Centre,>60 to 80,100,2013
Punggol,Punggol Town Centre,>80 to 100,1330,2013
Punggol,Punggol Town Centre,>100 to 120,0,2013
Punggol,Punggol Town Centre,>120,10,2013
Punggol,Punggol Town Centre,Not Available,0,2013
Punggol,Waterway East,<=60,920,2013
Punggol,Waterway East,>60 to 80,610,2013
Punggol,Waterway East,>80 to 100,4440,2013
Punggol,Waterway East,>100 to 120,1600,2013
Punggol,Waterway East,>120,0,2013
Punggol,Waterway East,Not Available,0,2013
Queenstown,Commonwealth,<=60,2620,2013
Queenstown,Commonwealth,>60 to 80,690,2013
Queenstown,Commonwealth,>80 to 100,0,2013
Queenstown,Commonwealth,>100 to 120,30,2013
Queenstown,Commonwealth,>120,50,2013
Queenstown,Commonwealth,Not Available,30,2013
Queenstown,Dover,<=60,180,2013
Queenstown,Dover,>60 to 80,1230,2013
Queenstown,Dover,>80 to 100,2170,2013
Queenstown,Dover,>100 to 120,1110,2013
Queenstown,Dover,>120,660,2013
Queenstown,Dover,Not Available,50,2013
Queenstown,Ghim Moh,<=60,800,2013
Queenstown,Ghim Moh,>60 to 80,1900,2013
Queenstown,Ghim Moh,>80 to 100,940,2013
Queenstown,Ghim Moh,>100 to 120,530,2013
Queenstown,Ghim Moh,>120,110,2013
Queenstown,Ghim Moh,Not Available,50,2013
Queenstown,Holland Drive,<=60,970,2013
Queenstown,Holland Drive,>60 to 80,2250,2013
Queenstown,Holland Drive,>80 to 100,1190,2013
Queenstown,Holland Drive,>100 to 120,770,2013
Queenstown,Holland Drive,>120,340,2013
Queenstown,Holland Drive,Not Available,60,2013
Queenstown,Kent Ridge,<=60,0,2013
Queenstown,Kent Ridge,>60 to 80,0,2013
Queenstown,Kent Ridge,>80 to 100,0,2013
Queenstown,Kent Ridge,>100 to 120,440,2013
Queenstown,Kent Ridge,>120,100,2013
Queenstown,Kent Ridge,Not Available,0,2013
Queenstown,Margaret Drive,<=60,150,2013
Queenstown,Margaret Drive,>60 to 80,180,2013
Queenstown,Margaret Drive,>80 to 100,1660,2013
Queenstown,Margaret Drive,>100 to 120,880,2013
Queenstown,Margaret Drive,>120,370,2013
Queenstown,Margaret Drive,Not Available,0,2013
Queenstown,Mei Chin,<=60,1830,2013
Queenstown,Mei Chin,>60 to 80,1530,2013
Queenstown,Mei Chin,>80 to 100,770,2013
Queenstown,Mei Chin,>100 to 120,1170,2013
Queenstown,Mei Chin,>120,1340,2013
Queenstown,Mei Chin,Not Available,180,2013
Queenstown,National University Of S'pore,<=60,0,2013
Queenstown,National University Of S'pore,>60 to 80,0,2013
Queenstown,National University Of S'pore,>80 to 100,0,2013
Queenstown,National University Of S'pore,>100 to 120,0,2013
Queenstown,National University Of S'pore,>120,0,2013
Queenstown,National University Of S'pore,Not Available,0,2013
Queenstown,One North,<=60,110,2013
Queenstown,One North,>60 to 80,50,2013
Queenstown,One North,>80 to 100,170,2013
Queenstown,One North,>100 to 120,300,2013
Queenstown,One North,>120,370,2013
Queenstown,One North,Not Available,0,2013
Queenstown,Pasir Panjang 1,<=60,170,2013
Queenstown,Pasir Panjang 1,>60 to 80,30,2013
Queenstown,Pasir Panjang 1,>80 to 100,260,2013
Queenstown,Pasir Panjang 1,>100 to 120,390,2013
Queenstown,Pasir Panjang 1,>120,1150,2013
Queenstown,Pasir Panjang 1,Not Available,150,2013
Queenstown,Pasir Panjang 2,<=60,10,2013
Queenstown,Pasir Panjang 2,>60 to 80,40,2013
Queenstown,Pasir Panjang 2,>80 to 100,200,2013
Queenstown,Pasir Panjang 2,>100 to 120,100,2013
Queenstown,Pasir Panjang 2,>120,1020,2013
Queenstown,Pasir Panjang 2,Not Available,70,2013
Queenstown,Port,<=60,0,2013
Queenstown,Port,>60 to 80,0,2013
Queenstown,Port,>80 to 100,0,2013
Queenstown,Port,>100 to 120,0,2013
Queenstown,Port,>120,0,2013
Queenstown,Port,Not Available,0,2013
Queenstown,Queensway,<=60,10,2013
Queenstown,Queensway,>60 to 80,0,2013
Queenstown,Queensway,>80 to 100,20,2013
Queenstown,Queensway,>100 to 120,40,2013
Queenstown,Queensway,>120,80,2013
Queenstown,Queensway,Not Available,0,2013
Queenstown,Singapore Polytechnic,<=60,0,2013
Queenstown,Singapore Polytechnic,>60 to 80,0,2013
Queenstown,Singapore Polytechnic,>80 to 100,0,2013
Queenstown,Singapore Polytechnic,>100 to 120,0,2013
Queenstown,Singapore Polytechnic,>120,0,2013
Queenstown,Singapore Polytechnic,Not Available,0,2013
Queenstown,Tanglin Halt,<=60,4090,2013
Queenstown,Tanglin Halt,>60 to 80,650,2013
Queenstown,Tanglin Halt,>80 to 100,830,2013
Queenstown,Tanglin Halt,>100 to 120,220,2013
Queenstown,Tanglin Halt,>120,40,2013
Queenstown,Tanglin Halt,Not Available,80,2013
River Valley,Institution Hill,<=60,250,2013
River Valley,Institution Hill,>60 to 80,20,2013
River Valley,Institution Hill,>80 to 100,550,2013
River Valley,Institution Hill,>100 to 120,370,2013
River Valley,Institution Hill,>120,1720,2013
River Valley,Institution Hill,Not Available,40,2013
River Valley,Leonie Hill,<=60,170,2013
River Valley,Leonie Hill,>60 to 80,150,2013
River Valley,Leonie Hill,>80 to 100,420,2013
River Valley,Leonie Hill,>100 to 120,270,2013
River Valley,Leonie Hill,>120,1480,2013
River Valley,Leonie Hill,Not Available,200,2013
River Valley,One Tree Hill,<=60,0,2013
River Valley,One Tree Hill,>60 to 80,20,2013
River Valley,One Tree Hill,>80 to 100,90,2013
River Valley,One Tree Hill,>100 to 120,30,2013
River Valley,One Tree Hill,>120,1230,2013
River Valley,One Tree Hill,Not Available,30,2013
River Valley,Oxley,<=60,0,2013
River Valley,Oxley,>60 to 80,0,2013
River Valley,Oxley,>80 to 100,90,2013
River Valley,Oxley,>100 to 120,120,2013
River Valley,Oxley,>120,650,2013
River Valley,Oxley,Not Available,120,2013
River Valley,Paterson,<=60,0,2013
River Valley,Paterson,>60 to 80,10,2013
River Valley,Paterson,>80 to 100,10,2013
River Valley,Paterson,>100 to 120,30,2013
River Valley,Paterson,>120,260,2013
River Valley,Paterson,Not Available,0,2013
Rochor,Bencoolen,<=60,420,2013
Rochor,Bencoolen,>60 to 80,160,2013
Rochor,Bencoolen,>80 to 100,120,2013
Rochor,Bencoolen,>100 to 120,60,2013
Rochor,Bencoolen,>120,60,2013
Rochor,Bencoolen,Not Available,60,2013
Rochor,Farrer Park,<=60,100,2013
Rochor,Farrer Park,>60 to 80,150,2013
Rochor,Farrer Park,>80 to 100,560,2013
Rochor,Farrer Park,>100 to 120,180,2013
Rochor,Farrer Park,>120,30,2013
Rochor,Farrer Park,Not Available,130,2013
Rochor,Kampong Glam,<=60,0,2013
Rochor,Kampong Glam,>60 to 80,0,2013
Rochor,Kampong Glam,>80 to 100,0,2013
Rochor,Kampong Glam,>100 to 120,0,2013
Rochor,Kampong Glam,>120,0,2013
Rochor,Kampong Glam,Not Available,0,2013
Rochor,Little India,<=60,10,2013
Rochor,Little India,>60 to 80,490,2013
Rochor,Little India,>80 to 100,40,2013
Rochor,Little India,>100 to 120,470,2013
Rochor,Little India,>120,110,2013
Rochor,Little India,Not Available,80,2013
Rochor,Mackenzie,<=60,60,2013
Rochor,Mackenzie,>60 to 80,40,2013
Rochor,Mackenzie,>80 to 100,10,2013
Rochor,Mackenzie,>100 to 120,0,2013
Rochor,Mackenzie,>120,20,2013
Rochor,Mackenzie,Not Available,10,2013
Rochor,Mount Emily,<=60,320,2013
Rochor,Mount Emily,>60 to 80,250,2013
Rochor,Mount Emily,>80 to 100,300,2013
Rochor,Mount Emily,>100 to 120,230,2013
Rochor,Mount Emily,>120,350,2013
Rochor,Mount Emily,Not Available,60,2013
Rochor,Rochor Canal,<=60,0,2013
Rochor,Rochor Canal,>60 to 80,0,2013
Rochor,Rochor Canal,>80 to 100,0,2013
Rochor,Rochor Canal,>100 to 120,0,2013
Rochor,Rochor Canal,>120,0,2013
Rochor,Rochor Canal,Not Available,0,2013
Rochor,Selegie,<=60,0,2013
Rochor,Selegie,>60 to 80,0,2013
Rochor,Selegie,>80 to 100,30,2013
Rochor,Selegie,>100 to 120,0,2013
Rochor,Selegie,>120,110,2013
Rochor,Selegie,Not Available,10,2013
Rochor,Sungei Road,<=60,300,2013
Rochor,Sungei Road,>60 to 80,400,2013
Rochor,Sungei Road,>80 to 100,120,2013
Rochor,Sungei Road,>100 to 120,0,2013
Rochor,Sungei Road,>120,20,2013
Rochor,Sungei Road,Not Available,60,2013
Rochor,Victoria,<=60,280,2013
Rochor,Victoria,>60 to 80,290,2013
Rochor,Victoria,>80 to 100,280,2013
Rochor,Victoria,>100 to 120,40,2013
Rochor,Victoria,>120,90,2013
Rochor,Victoria,Not Available,0,2013
Seletar,Pulau Punggol Barat,<=60,0,2013
Seletar,Pulau Punggol Barat,>60 to 80,0,2013
Seletar,Pulau Punggol Barat,>80 to 100,0,2013
Seletar,Pulau Punggol Barat,>100 to 120,0,2013
Seletar,Pulau Punggol Barat,>120,0,2013
Seletar,Pulau Punggol Barat,Not Available,0,2013
Seletar,Pulau Punggol Timor,<=60,0,2013
Seletar,Pulau Punggol Timor,>60 to 80,0,2013
Seletar,Pulau Punggol Timor,>80 to 100,0,2013
Seletar,Pulau Punggol Timor,>100 to 120,0,2013
Seletar,Pulau Punggol Timor,>120,0,2013
Seletar,Pulau Punggol Timor,Not Available,0,2013
Seletar,Seletar,<=60,0,2013
Seletar,Seletar,>60 to 80,0,2013
Seletar,Seletar,>80 to 100,0,2013
Seletar,Seletar,>100 to 120,10,2013
Seletar,Seletar,>120,120,2013
Seletar,Seletar,Not Available,0,2013
Seletar,Seletar Aerospace Park,<=60,0,2013
Seletar,Seletar Aerospace Park,>60 to 80,0,2013
Seletar,Seletar Aerospace Park,>80 to 100,0,2013
Seletar,Seletar Aerospace Park,>100 to 120,0,2013
Seletar,Seletar Aerospace Park,>120,0,2013
Seletar,Seletar Aerospace Park,Not Available,0,2013
Sembawang,Admiralty,<=60,290,2013
Sembawang,Admiralty,>60 to 80,0,2013
Sembawang,Admiralty,>80 to 100,1320,2013
Sembawang,Admiralty,>100 to 120,1330,2013
Sembawang,Admiralty,>120,720,2013
Sembawang,Admiralty,Not Available,0,2013
Sembawang,Sembawang Central,<=60,0,2013
Sembawang,Sembawang Central,>60 to 80,0,2013
Sembawang,Sembawang Central,>80 to 100,2120,2013
Sembawang,Sembawang Central,>100 to 120,3610,2013
Sembawang,Sembawang Central,>120,2180,2013
Sembawang,Sembawang Central,Not Available,0,2013
Sembawang,Sembawang East,<=60,0,2013
Sembawang,Sembawang East,>60 to 80,0,2013
Sembawang,Sembawang East,>80 to 100,0,2013
Sembawang,Sembawang East,>100 to 120,0,2013
Sembawang,Sembawang East,>120,0,2013
Sembawang,Sembawang East,Not Available,0,2013
Sembawang,Sembawang North,<=60,0,2013
Sembawang,Sembawang North,>60 to 80,0,2013
Sembawang,Sembawang North,>80 to 100,2870,2013
Sembawang,Sembawang North,>100 to 120,3150,2013
Sembawang,Sembawang North,>120,1100,2013
Sembawang,Sembawang North,Not Available,0,2013
Sembawang,Sembawang Springs,<=60,30,2013
Sembawang,Sembawang Springs,>60 to 80,50,2013
Sembawang,Sembawang Springs,>80 to 100,130,2013
Sembawang,Sembawang Springs,>100 to 120,200,2013
Sembawang,Sembawang Springs,>120,870,2013
Sembawang,Sembawang Springs,Not Available,110,2013
Sembawang,Sembawang Straits,<=60,0,2013
Sembawang,Sembawang Straits,>60 to 80,10,2013
Sembawang,Sembawang Straits,>80 to 100,20,2013
Sembawang,Sembawang Straits,>100 to 120,30,2013
Sembawang,Sembawang Straits,>120,450,2013
Sembawang,Sembawang Straits,Not Available,10,2013
Sembawang,Senoko North,<=60,0,2013
Sembawang,Senoko North,>60 to 80,0,2013
Sembawang,Senoko North,>80 to 100,0,2013
Sembawang,Senoko North,>100 to 120,0,2013
Sembawang,Senoko North,>120,0,2013
Sembawang,Senoko North,Not Available,0,2013
Sembawang,Senoko South,<=60,0,2013
Sembawang,Senoko South,>60 to 80,0,2013
Sembawang,Senoko South,>80 to 100,0,2013
Sembawang,Senoko South,>100 to 120,0,2013
Sembawang,Senoko South,>120,0,2013
Sembawang,Senoko South,Not Available,0,2013
Sembawang,The Wharves,<=60,0,2013
Sembawang,The Wharves,>60 to 80,0,2013
Sembawang,The Wharves,>80 to 100,0,2013
Sembawang,The Wharves,>100 to 120,0,2013
Sembawang,The Wharves,>120,0,2013
Sembawang,The Wharves,Not Available,0,2013
Sengkang,Anchorvale,<=60,80,2013
Sengkang,Anchorvale,>60 to 80,0,2013
Sengkang,Anchorvale,>80 to 100,2950,2013
Sengkang,Anchorvale,>100 to 120,4450,2013
Sengkang,Anchorvale,>120,1200,2013
Sengkang,Anchorvale,Not Available,0,2013
Sengkang,Compassvale,<=60,0,2013
Sengkang,Compassvale,>60 to 80,0,2013
Sengkang,Compassvale,>80 to 100,3700,2013
Sengkang,Compassvale,>100 to 120,660,2013
Sengkang,Compassvale,>120,100,2013
Sengkang,Compassvale,Not Available,0,2013
Sengkang,Fernvale,<=60,780,2013
Sengkang,Fernvale,>60 to 80,1300,2013
Sengkang,Fernvale,>80 to 100,4890,2013
Sengkang,Fernvale,>100 to 120,1640,2013
Sengkang,Fernvale,>120,250,2013
Sengkang,Fernvale,Not Available,80,2013
Sengkang,Lorong Halus North,<=60,0,2013
Sengkang,Lorong Halus North,>60 to 80,0,2013
Sengkang,Lorong Halus North,>80 to 100,0,2013
Sengkang,Lorong Halus North,>100 to 120,0,2013
Sengkang,Lorong Halus North,>120,0,2013
Sengkang,Lorong Halus North,Not Available,0,2013
Sengkang,Rivervale,<=60,680,2013
Sengkang,Rivervale,>60 to 80,220,2013
Sengkang,Rivervale,>80 to 100,5210,2013
Sengkang,Rivervale,>100 to 120,6830,2013
Sengkang,Rivervale,>120,3640,2013
Sengkang,Rivervale,Not Available,0,2013
Sengkang,Sengkang Town Centre,<=60,60,2013
Sengkang,Sengkang Town Centre,>60 to 80,310,2013
Sengkang,Sengkang Town Centre,>80 to 100,4690,2013
Sengkang,Sengkang Town Centre,>100 to 120,6980,2013
Sengkang,Sengkang Town Centre,>120,3510,2013
Sengkang,Sengkang Town Centre,Not Available,0,2013
Sengkang,Sengkang West,<=60,0,2013
Sengkang,Sengkang West,>60 to 80,0,2013
Sengkang,Sengkang West,>80 to 100,0,2013
Sengkang,Sengkang West,>100 to 120,0,2013
Sengkang,Sengkang West,>120,0,2013
Sengkang,Sengkang West,Not Available,0,2013
Serangoon,Lorong Chuan,<=60,20,2013
Serangoon,Lorong Chuan,>60 to 80,20,2013
Serangoon,Lorong Chuan,>80 to 100,210,2013
Serangoon,Lorong Chuan,>100 to 120,420,2013
Serangoon,Lorong Chuan,>120,2160,2013
Serangoon,Lorong Chuan,Not Available,30,2013
Serangoon,Seletar Hills,<=60,0,2013
Serangoon,Seletar Hills,>60 to 80,0,2013
Serangoon,Seletar Hills,>80 to 100,40,2013
Serangoon,Seletar Hills,>100 to 120,100,2013
Serangoon,Seletar Hills,>120,3330,2013
Serangoon,Seletar Hills,Not Available,60,2013
Serangoon,Serangoon Central,<=60,310,2013
Serangoon,Serangoon Central,>60 to 80,1670,2013
Serangoon,Serangoon Central,>80 to 100,2930,2013
Serangoon,Serangoon Central,>100 to 120,1620,2013
Serangoon,Serangoon Central,>120,1990,2013
Serangoon,Serangoon Central,Not Available,100,2013
Serangoon,Serangoon Garden,<=60,540,2013
Serangoon,Serangoon Garden,>60 to 80,1690,2013
Serangoon,Serangoon Garden,>80 to 100,2880,2013
Serangoon,Serangoon Garden,>100 to 120,810,2013
Serangoon,Serangoon Garden,>120,5750,2013
Serangoon,Serangoon Garden,Not Available,190,2013
Serangoon,Serangoon North,<=60,0,2013
Serangoon,Serangoon North,>60 to 80,0,2013
Serangoon,Serangoon North,>80 to 100,600,2013
Serangoon,Serangoon North,>100 to 120,1750,2013
Serangoon,Serangoon North,>120,2300,2013
Serangoon,Serangoon North,Not Available,0,2013
Serangoon,Serangoon North Ind Estate,<=60,0,2013
Serangoon,Serangoon North Ind Estate,>60 to 80,0,2013
Serangoon,Serangoon North Ind Estate,>80 to 100,0,2013
Serangoon,Serangoon North Ind Estate,>100 to 120,0,2013
Serangoon,Serangoon North Ind Estate,>120,0,2013
Serangoon,Serangoon North Ind Estate,Not Available,0,2013
Serangoon,Upper Paya Lebar,<=60,160,2013
Serangoon,Upper Paya Lebar,>60 to 80,750,2013
Serangoon,Upper Paya Lebar,>80 to 100,400,2013
Serangoon,Upper Paya Lebar,>100 to 120,1570,2013
Serangoon,Upper Paya Lebar,>120,1920,2013
Serangoon,Upper Paya Lebar,Not Available,100,2013
Simpang,Pulau Seletar,<=60,0,2013
Simpang,Pulau Seletar,>60 to 80,0,2013
Simpang,Pulau Seletar,>80 to 100,0,2013
Simpang,Pulau Seletar,>100 to 120,0,2013
Simpang,Pulau Seletar,>120,0,2013
Simpang,Pulau Seletar,Not Available,0,2013
Simpang,Simpang North,<=60,0,2013
Simpang,Simpang North,>60 to 80,0,2013
Simpang,Simpang North,>80 to 100,0,2013
Simpang,Simpang North,>100 to 120,0,2013
Simpang,Simpang North,>120,0,2013
Simpang,Simpang North,Not Available,0,2013
Simpang,Simpang South,<=60,0,2013
Simpang,Simpang South,>60 to 80,0,2013
Simpang,Simpang South,>80 to 100,0,2013
Simpang,Simpang South,>100 to 120,0,2013
Simpang,Simpang South,>120,0,2013
Simpang,Simpang South,Not Available,0,2013
Simpang,Tanjong Irau,<=60,0,2013
Simpang,Tanjong Irau,>60 to 80,0,2013
Simpang,Tanjong Irau,>80 to 100,0,2013
Simpang,Tanjong Irau,>100 to 120,0,2013
Simpang,Tanjong Irau,>120,0,2013
Simpang,Tanjong Irau,Not Available,0,2013
Singapore River,Boat Quay,<=60,0,2013
Singapore River,Boat Quay,>60 to 80,40,2013
Singapore River,Boat Quay,>80 to 100,0,2013
Singapore River,Boat Quay,>100 to 120,40,2013
Singapore River,Boat Quay,>120,40,2013
Singapore River,Boat Quay,Not Available,10,2013
Singapore River,Clarke Quay,<=60,0,2013
Singapore River,Clarke Quay,>60 to 80,0,2013
Singapore River,Clarke Quay,>80 to 100,0,2013
Singapore River,Clarke Quay,>100 to 120,0,2013
Singapore River,Clarke Quay,>120,0,2013
Singapore River,Clarke Quay,Not Available,0,2013
Singapore River,Robertson Quay,<=60,130,2013
Singapore River,Robertson Quay,>60 to 80,410,2013
Singapore River,Robertson Quay,>80 to 100,720,2013
Singapore River,Robertson Quay,>100 to 120,380,2013
Singapore River,Robertson Quay,>120,1720,2013
Singapore River,Robertson Quay,Not Available,0,2013
Southern Islands,Sentosa,<=60,0,2013
Southern Islands,Sentosa,>60 to 80,0,2013
Southern Islands,Sentosa,>80 to 100,10,2013
Southern Islands,Sentosa,>100 to 120,100,2013
Southern Islands,Sentosa,>120,1730,2013
Southern Islands,Sentosa,Not Available,20,2013
Southern Islands,Southern Group,<=60,0,2013
Southern Islands,Southern Group,>60 to 80,0,2013
Southern Islands,Southern Group,>80 to 100,0,2013
Southern Islands,Southern Group,>100 to 120,0,2013
Southern Islands,Southern Group,>120,0,2013
Southern Islands,Southern Group,Not Available,0,2013
Straits View,Straits View,<=60,0,2013
Straits View,Straits View,>60 to 80,0,2013
Straits View,Straits View,>80 to 100,0,2013
Straits View,Straits View,>100 to 120,0,2013
Straits View,Straits View,>120,0,2013
Straits View,Straits View,Not Available,0,2013
Sungei Kadut,Gali Batu,<=60,0,2013
Sungei Kadut,Gali Batu,>60 to 80,0,2013
Sungei Kadut,Gali Batu,>80 to 100,0,2013
Sungei Kadut,Gali Batu,>100 to 120,0,2013
Sungei Kadut,Gali Batu,>120,0,2013
Sungei Kadut,Gali Batu,Not Available,0,2013
Sungei Kadut,Kranji,<=60,0,2013
Sungei Kadut,Kranji,>60 to 80,0,2013
Sungei Kadut,Kranji,>80 to 100,0,2013
Sungei Kadut,Kranji,>100 to 120,0,2013
Sungei Kadut,Kranji,>120,0,2013
Sungei Kadut,Kranji,Not Available,0,2013
Sungei Kadut,Pang Sua,<=60,0,2013
Sungei Kadut,Pang Sua,>60 to 80,0,2013
Sungei Kadut,Pang Sua,>80 to 100,0,2013
Sungei Kadut,Pang Sua,>100 to 120,0,2013
Sungei Kadut,Pang Sua,>120,0,2013
Sungei Kadut,Pang Sua,Not Available,0,2013
Sungei Kadut,Reservoir View,<=60,0,2013
Sungei Kadut,Reservoir View,>60 to 80,0,2013
Sungei Kadut,Reservoir View,>80 to 100,0,2013
Sungei Kadut,Reservoir View,>100 to 120,0,2013
Sungei Kadut,Reservoir View,>120,0,2013
Sungei Kadut,Reservoir View,Not Available,0,2013
Sungei Kadut,Turf Club,<=60,0,2013
Sungei Kadut,Turf Club,>60 to 80,0,2013
Sungei Kadut,Turf Club,>80 to 100,0,2013
Sungei Kadut,Turf Club,>100 to 120,10,2013
Sungei Kadut,Turf Club,>120,210,2013
Sungei Kadut,Turf Club,Not Available,0,2013
Tampines,Simei,<=60,20,2013
Tampines,Simei,>60 to 80,80,2013
Tampines,Simei,>80 to 100,2630,2013
Tampines,Simei,>100 to 120,4600,2013
Tampines,Simei,>120,6340,2013
Tampines,Simei,Not Available,10,2013
Tampines,Tampines East,<=60,1650,2013
Tampines,Tampines East,>60 to 80,8190,2013
Tampines,Tampines East,>80 to 100,3510,2013
Tampines,Tampines East,>100 to 120,11860,2013
Tampines,Tampines East,>120,12540,2013
Tampines,Tampines East,Not Available,280,2013
Tampines,Tampines North,<=60,0,2013
Tampines,Tampines North,>60 to 80,0,2013
Tampines,Tampines North,>80 to 100,0,2013
Tampines,Tampines North,>100 to 120,0,2013
Tampines,Tampines North,>120,0,2013
Tampines,Tampines North,Not Available,0,2013
Tampines,Tampines West,<=60,440,2013
Tampines,Tampines West,>60 to 80,3190,2013
Tampines,Tampines West,>80 to 100,2670,2013
Tampines,Tampines West,>100 to 120,8570,2013
Tampines,Tampines West,>120,5560,2013
Tampines,Tampines West,Not Available,140,2013
Tampines,Xilin,<=60,0,2013
Tampines,Xilin,>60 to 80,50,2013
Tampines,Xilin,>80 to 100,230,2013
Tampines,Xilin,>100 to 120,150,2013
Tampines,Xilin,>120,380,2013
Tampines,Xilin,Not Available,0,2013
Tanglin,Chatsworth,<=60,340,2013
Tanglin,Chatsworth,>60 to 80,300,2013
Tanglin,Chatsworth,>80 to 100,530,2013
Tanglin,Chatsworth,>100 to 120,710,2013
Tanglin,Chatsworth,>120,2520,2013
Tanglin,Chatsworth,Not Available,160,2013
Tanglin,Nassim,<=60,90,2013
Tanglin,Nassim,>60 to 80,110,2013
Tanglin,Nassim,>80 to 100,260,2013
Tanglin,Nassim,>100 to 120,450,2013
Tanglin,Nassim,>120,3670,2013
Tanglin,Nassim,Not Available,120,2013
Tanglin,Ridout,<=60,0,2013
Tanglin,Ridout,>60 to 80,0,2013
Tanglin,Ridout,>80 to 100,90,2013
Tanglin,Ridout,>100 to 120,30,2013
Tanglin,Ridout,>120,690,2013
Tanglin,Ridout,Not Available,10,2013
Tanglin,Tyersall,<=60,30,2013
Tanglin,Tyersall,>60 to 80,100,2013
Tanglin,Tyersall,>80 to 100,180,2013
Tanglin,Tyersall,>100 to 120,100,2013
Tanglin,Tyersall,>120,1550,2013
Tanglin,Tyersall,Not Available,110,2013
Tengah,Tengah,<=60,0,2013
Tengah,Tengah,>60 to 80,0,2013
Tengah,Tengah,>80 to 100,0,2013
Tengah,Tengah,>100 to 120,0,2013
Tengah,Tengah,>120,0,2013
Tengah,Tengah,Not Available,0,2013
Toa Payoh,Bidadari,<=60,0,2013
Toa Payoh,Bidadari,>60 to 80,0,2013
Toa Payoh,Bidadari,>80 to 100,0,2013
Toa Payoh,Bidadari,>100 to 120,0,2013
Toa Payoh,Bidadari,>120,0,2013
Toa Payoh,Bidadari,Not Available,0,2013
Toa Payoh,Boon Teck,<=60,3330,2013
Toa Payoh,Boon Teck,>60 to 80,1630,2013
Toa Payoh,Boon Teck,>80 to 100,60,2013
Toa Payoh,Boon Teck,>100 to 120,750,2013
Toa Payoh,Boon Teck,>120,580,2013
Toa Payoh,Boon Teck,Not Available,60,2013
Toa Payoh,Braddell,<=60,760,2013
Toa Payoh,Braddell,>60 to 80,1170,2013
Toa Payoh,Braddell,>80 to 100,660,2013
Toa Payoh,Braddell,>100 to 120,490,2013
Toa Payoh,Braddell,>120,730,2013
Toa Payoh,Braddell,Not Available,50,2013
Toa Payoh,Joo Seng,<=60,370,2013
Toa Payoh,Joo Seng,>60 to 80,20,2013
Toa Payoh,Joo Seng,>80 to 100,220,2013
Toa Payoh,Joo Seng,>100 to 120,830,2013
Toa Payoh,Joo Seng,>120,670,2013
Toa Payoh,Joo Seng,Not Available,90,2013
Toa Payoh,Kim Keat,<=60,0,2013
Toa Payoh,Kim Keat,>60 to 80,1320,2013
Toa Payoh,Kim Keat,>80 to 100,0,2013
Toa Payoh,Kim Keat,>100 to 120,760,2013
Toa Payoh,Kim Keat,>120,570,2013
Toa Payoh,Kim Keat,Not Available,20,2013
Toa Payoh,Lorong 8 Toa Payoh,<=60,260,2013
Toa Payoh,Lorong 8 Toa Payoh,>60 to 80,840,2013
Toa Payoh,Lorong 8 Toa Payoh,>80 to 100,980,2013
Toa Payoh,Lorong 8 Toa Payoh,>100 to 120,580,2013
Toa Payoh,Lorong 8 Toa Payoh,>120,10,2013
Toa Payoh,Lorong 8 Toa Payoh,Not Available,30,2013
Toa Payoh,Pei Chun,<=60,260,2013
Toa Payoh,Pei Chun,>60 to 80,2160,2013
Toa Payoh,Pei Chun,>80 to 100,480,2013
Toa Payoh,Pei Chun,>100 to 120,820,2013
Toa Payoh,Pei Chun,>120,200,2013
Toa Payoh,Pei Chun,Not Available,70,2013
Toa Payoh,Potong Pasir,<=60,40,2013
Toa Payoh,Potong Pasir,>60 to 80,2150,2013
Toa Payoh,Potong Pasir,>80 to 100,680,2013
Toa Payoh,Potong Pasir,>100 to 120,1000,2013
Toa Payoh,Potong Pasir,>120,620,2013
Toa Payoh,Potong Pasir,Not Available,60,2013
